"data";"valor"
"01/02/1980";"169309000"
"01/03/1980";"173809000"
"01/04/1980";"179809000"
"01/05/1980";"187309000"
"01/06/1980";"200809000"
"01/07/1980";"209809000"
"01/08/1980";"220309000"
"01/09/1980";"224309000"
"01/10/1980";"242309000"
"01/11/1980";"267309000"
"01/12/1980";"326309000"
"01/01/1981";"296309000"
"01/02/1981";"320309000"
"01/03/1981";"285309000"
"01/04/1981";"317309000"
"01/05/1981";"325309000"
"01/06/1981";"328309000"
"01/07/1981";"367309000"
"01/08/1981";"380309000"
"01/09/1981";"392309000"
"01/10/1981";"435309000"
"01/11/1981";"471309000"
"01/12/1981";"577309000"
"01/01/1982";"572000000"
"01/02/1982";"584000000"
"01/03/1982";"569000000"
"01/04/1982";"588000000"
"01/05/1982";"589000000"
"01/06/1982";"680000000"
"01/07/1982";"718000000"
"01/08/1982";"726000000"
"01/09/1982";"772000000"
"01/10/1982";"791000000"
"01/11/1982";"952000000"
"01/12/1982";"1112000000"
"01/01/1983";"1102000000"
"01/02/1983";"1112000000"
"01/03/1983";"1087000000"
"01/04/1983";"1217000000"
"01/05/1983";"1182000000"
"01/06/1983";"1346000000"
"01/07/1983";"1262000000"
"01/08/1983";"1322000000"
"01/09/1983";"1516000000"
"01/10/1983";"1646000000"
"01/11/1983";"1746000000"
"01/12/1983";"2046000000"
"01/01/1984";"2026000000"
"01/02/1984";"2136000000"
"01/03/1984";"2151000000"
"01/04/1984";"2566000000"
"01/05/1984";"2671000000"
"01/06/1984";"2777000000"
"01/07/1984";"3246000000"
"01/08/1984";"3626000000"
"01/09/1984";"4036000000"
"01/10/1984";"4122000000"
"01/11/1984";"4962000000"
"01/12/1984";"7151000000"
"01/01/1985";"6482000000"
"01/02/1985";"7152000000"
"01/03/1985";"7452000000"
"01/04/1985";"7901000000"
"01/05/1985";"8901000000"
"01/06/1985";"10430000000"
"01/07/1985";"11630000000"
"01/08/1985";"13381000000"
"01/09/1985";"15160000000"
"01/10/1985";"15811000000"
"01/11/1985";"20310000000"
"01/12/1985";"28110000000"
"01/01/1986";"26611000000"
"01/02/1986";"29212000000"
"01/03/1986";"37291000"
"01/04/1986";"43651000"
"01/05/1986";"48501000"
"01/06/1986";"53251000"
"01/07/1986";"55721000"
"01/08/1986";"60581000"
"01/09/1986";"63452000"
"01/10/1986";"68802000"
"01/11/1986";"76967000"
"01/12/1986";"92610000"
"01/01/1987";"77340000"
"01/02/1987";"86620000"
"01/03/1987";"83750000"
"01/04/1987";"89986000"
"01/05/1987";"94006000"
"01/06/1987";"104116000"
"01/07/1987";"125056000"
"01/08/1987";"132066000"
"01/09/1987";"147555000"
"01/10/1987";"170805000"
"01/11/1987";"190755000"
"01/12/1987";"271615000"
"01/01/1988";"250215000"
"01/02/1988";"265005000"
"01/03/1988";"324145000"
"01/04/1988";"349225000"
"01/05/1988";"396435000"
"01/06/1988";"459655000"
"01/07/1988";"565455000"
"01/08/1988";"585115000"
"01/09/1988";"802428000"
"01/10/1988";"1059080000"
"01/11/1988";"1278671000"
"01/12/1988";"2284466000"
"01/01/1989";"2467000"
"01/02/1989";"2668000"
"01/03/1989";"3055000"
"01/04/1989";"3959000"
"01/05/1989";"4264000"
"01/06/1989";"5455000"
"01/07/1989";"6164000"
"01/08/1989";"7510000"
"01/09/1989";"10778000"
"01/10/1989";"13497000"
"01/11/1989";"21746000"
"01/12/1989";"43926000"
"01/01/1990";"46473000"
"01/02/1990";"87605000"
"01/03/1990";"259493000"
"01/04/1990";"366660000"
"01/05/1990";"472687000"
"01/06/1990";"477415000"
"01/07/1990";"443179000"
"01/08/1990";"496013000"
"01/09/1990";"594799000"
"01/10/1990";"578832000"
"01/11/1990";"706918000"
"01/12/1990";"1044649000"
"01/01/1991";"850048000"
"01/02/1991";"1136320000"
"01/03/1991";"1288906000"
"01/04/1991";"1258642000"
"01/05/1991";"1390871000"
"01/06/1991";"1553950000"
"01/07/1991";"1548385000"
"01/08/1991";"1742939000"
"01/09/1991";"1998351000"
"01/10/1991";"2248772000"
"01/11/1991";"2793530000"
"01/12/1991";"3974585000"
"01/01/1992";"3720326000"
"01/02/1992";"5215283000"
"01/03/1992";"4791726000"
"01/04/1992";"6336014000"
"01/05/1992";"7429874000"
"01/06/1992";"8799261000"
"01/07/1992";"11044241000"
"01/08/1992";"12759130000"
"01/09/1992";"15970933000"
"01/10/1992";"21513117000"
"01/11/1992";"27617072000"
"01/12/1992";"43211163000"
"01/01/1993";"40335156000"
"01/02/1993";"54497235000"
"01/03/1993";"58676266000"
"01/04/1993";"86242693000"
"01/05/1993";"98432485000"
"01/06/1993";"125300493000"
"01/07/1993";"176461117000"
"01/08/1993";"207917438"
"01/09/1993";"278758047"
"01/10/1993";"376494598"
"01/11/1993";"603034000"
"01/12/1993";"1062527668"
"01/01/1994";"1087756887"
"01/02/1994";"1546529051"
"01/03/1994";"2243861238"
"01/04/1994";"3240678462"
"01/05/1994";"4456542737"
"01/06/1994";"6283173536"
"01/07/1994";"4723550"
"01/08/1994";"5153013"
"01/09/1994";"6392158"
"01/10/1994";"6418164"
"01/11/1994";"7178732"
"01/12/1994";"10045617"
"01/01/1995";"7957394"
"01/02/1995";"9327589"
"01/03/1995";"7852447"
"01/04/1995";"8188849"
"01/05/1995";"7636178"
"01/06/1995";"8370027"
"01/07/1995";"8492033"
"01/08/1995";"8728675"
